noise_level,noise_percent,replicate,seed,method,success,failure_reason,fitted_vmax,fitted_km,vmax_absolute_error,km_absolute_error,vmax_relative_error,km_relative_error,r2
0.0,0.0,35,2083,lineweaver_burk,True,,99.99999999999987,4.999999999999999,1.2789769243681803e-13,8.881784197001252e-16,1.2789769243681803e-15,1.7763568394002506e-16,1.0
0.0,0.0,36,2084,nonlinear,True,,99.99999999999933,4.999999999999844,6.679101716144942e-13,1.5631940186722204e-13,6.679101716144941e-15,3.126388037344441e-14,1.0
0.0,0.0,36,2084,lineweaver_burk,True,,99.99999999999987,4.999999999999999,1.2789769243681803e-13,8.881784197001252e-16,1.2789769243681803e-15,1.7763568394002506e-16,1.0
0.0,0.0,37,2085,nonlinear,True,,99.99999999999933,4.999999999999844,6.679101716144942e-13,1.5631940186722204e-13,6.679101716144941e-15,3.126388037344441e-14,1.0
0.0,0.0,37,2085,lineweaver_burk,True,,99.99999999999987,4.999999999999999,1.2789769243681803e-13,8.881784197001252e-16,1.2789769243681803e-15,1.7763568394002506e-16,1.0
0.0,0.0,38,2086,nonlinear,True,,99.99999999999933,4.999999999999844,6.679101716144942e-13,1.5631940186722204e-13,6.679101716144941e-15,3.126388037344441e-14,1.0
0.0,0.0,38,2086,lineweaver_burk,True,,99.99999999999987,4.999999999999999,1.2789769243681803e-13,8.881784197001252e-16,1.2789769243681803e-15,1.7763568394002506e-16,1.0
0.0,0.0,39,2087,nonlinear,True,,99.99999999999933,4.999999999999844,6.679101716144942e-13,1.5631940186722204e-13,6.679101716144941e-15,3.126388037344441e-14,1.0
0.0,0.0,39,2087,lineweaver_burk,True,,99.99999999999987,4.999999999999999,1.2789769243681803e-13,8.881784197001252e-16,1.2789769243681803e-15,1.7763568394002506e-16,1.0
0.0,0.0,40,2088,nonlinear,True,,99.99999999999933,4.999999999999844,6.679101716144942e-13,1.5631940186722204e-13,6.679101716144941e-15,3.126388037344441e-14,1.0
0.0,0.0,40,2088,lineweaver_burk,True,,99.99999999999987,4.999999999999999,1.2789769243681803e-13,8.881784197001252e-16,1.2789769243681803e-15,1.7763568394002506e-16,1.0
0.0,0.0,41,2089,nonlinear,True,,99.99999999999933,4.999999999999844,6.679101716144942e-13,1.5631940186722204e-13,6.679101716144941e-15,3.126388037344441e-14,1.0
0.0,0.0,41,2089,lineweaver_burk,True,,99.99999999999987,4.999999999999999,1.2789769243681803e-13,8.881784197001252e-16,1.2789769243681803e-15,1.7763568394002506e-16,1.0
0.0,0.0,42,2090,nonlinear,True,,99.99999999999933,4.999999999999844,6.679101716144942e-13,1.5631940186722204e-13,6.679101716144941e-15,3.126388037344441e-14,1.0
